Minute,Team,Margin
0,NOP,-0.146341463
1,NOP,-0.146341463
2,NOP,-0.036585366
3,NOP,0.012195122
4,NOP,0.195121951
5,NOP,0.365853659
6,NOP,-0.146341463
7,NOP,-0.097560976
8,NOP,0.12195122
9,NOP,0
10,NOP,0.463414634
11,NOP,0.341463415
12,NOP,0.536585366
13,NOP,0.353658537
14,NOP,0.231707317
15,NOP,-0.073170732
16,NOP,0
17,NOP,-0.073170732
18,NOP,0.231707317
19,NOP,0.280487805
20,NOP,0.219512195
21,NOP,0.451219512
22,NOP,0.451219512
23,NOP,0.5
24,NOP,0.670731707
25,NOP,1.512195122
26,NOP,1.134146341
27,NOP,1.646341463
28,NOP,1.402439024
29,NOP,1.743902439
30,NOP,1.865853659
31,NOP,1.304878049
32,NOP,1.609756098
33,NOP,1.170731707
34,NOP,1.195121951
35,NOP,1.146341463
36,NOP,1.43902439
37,NOP,1.280487805
38,NOP,1.512195122
39,NOP,1.256097561
40,NOP,0.902439024
41,NOP,1.134146341
42,NOP,1.146341463
43,NOP,1.097560976
44,NOP,1.048780488
45,NOP,0.890243902
46,NOP,0.768292683
47,NOP,0.768292683
48,NOP,0.731707317
49,NOP,0.792682927
0,ORL,-0.243902439
1,ORL,-0.243902439
2,ORL,-0.109756098
3,ORL,-0.670731707
4,ORL,-0.853658537
5,ORL,-0.573170732
6,ORL,-0.902439024
7,ORL,-1.219512195
8,ORL,-1.475609756
9,ORL,-1.280487805
10,ORL,-1.146341463
11,ORL,-1.707317073
12,ORL,-2.073170732
13,ORL,-2.365853659
14,ORL,-2.853658537
15,ORL,-2.853658537
16,ORL,-2.804878049
17,ORL,-2.93902439
18,ORL,-3.085365854
19,ORL,-2.743902439
20,ORL,-3.097560976
21,ORL,-3.304878049
22,ORL,-3.219512195
23,ORL,-3.341463415
24,ORL,-3.170731707
25,ORL,-3.329268293
26,ORL,-3.390243902
27,ORL,-3.5
28,ORL,-3.304878049
29,ORL,-3.695121951
30,ORL,-3.829268293
31,ORL,-4.06097561
32,ORL,-4.341463415
33,ORL,-4.365853659
34,ORL,-4.634146341
35,ORL,-4.987804878
36,ORL,-5.073170732
37,ORL,-5.341463415
38,ORL,-5.353658537
39,ORL,-5.512195122
40,ORL,-5.195121951
41,ORL,-5.463414634
42,ORL,-5.451219512
43,ORL,-5.926829268
44,ORL,-5.62195122
45,ORL,-5.841463415
46,ORL,-5.93902439
47,ORL,-5.512195122
48,ORL,-5.475609756
49,ORL,-5.719512195
0,LAL,-0.451219512
1,LAL,-0.451219512
2,LAL,-0.792682927
3,LAL,-1.219512195
4,LAL,-0.914634146
5,LAL,-1.207317073
6,LAL,-1.585365854
7,LAL,-1.670731707
8,LAL,-2.353658537
9,LAL,-2.585365854
10,LAL,-3
11,LAL,-2.670731707
12,LAL,-2.975609756
13,LAL,-2.5
14,LAL,-2.280487805
15,LAL,-1.987804878
16,LAL,-2.243902439
17,LAL,-2.524390244
18,LAL,-2.085365854
19,LAL,-2.414634146
20,LAL,-2.524390244
21,LAL,-2.695121951
22,LAL,-2.963414634
23,LAL,-3.036585366
24,LAL,-3.207317073
25,LAL,-2.987804878
26,LAL,-3.048780488
27,LAL,-3.341463415
28,LAL,-3.353658537
29,LAL,-3.646341463
30,LAL,-3.573170732
31,LAL,-4.353658537
32,LAL,-4.353658537
33,LAL,-4.902439024
34,LAL,-5.37804878
35,LAL,-5.841463415
36,LAL,-6.207317073
37,LAL,-6.768292683
38,LAL,-6.87804878
39,LAL,-7.109756098
40,LAL,-7.524390244
41,LAL,-7.487804878
42,LAL,-6.93902439
43,LAL,-7.06097561
44,LAL,-6.817073171
45,LAL,-7.219512195
46,LAL,-7.341463415
47,LAL,-7.219512195
48,LAL,-6.719512195
49,LAL,-6.841463415
0,HOU,0.109756098
1,HOU,0.109756098
2,HOU,-0.06097561
3,HOU,0.06097561
4,HOU,0.451219512
5,HOU,0.646341463
6,HOU,1.353658537
7,HOU,1.414634146
8,HOU,1.317073171
9,HOU,1.902439024
10,HOU,2.06097561
11,HOU,2.341463415
12,HOU,2.134146341
13,HOU,2.743902439
14,HOU,2.658536585
15,HOU,2.62195122
16,HOU,2.609756098
17,HOU,2.707317073
18,HOU,2.536585366
19,HOU,2.5
20,HOU,2.902439024
21,HOU,2.56097561
22,HOU,3.414634146
23,HOU,3.634146341
24,HOU,3
25,HOU,3.365853659
26,HOU,3.402439024
27,HOU,3.195121951
28,HOU,3.634146341
29,HOU,3.536585366
30,HOU,3.475609756
31,HOU,3.280487805
32,HOU,3.292682927
33,HOU,3.792682927
34,HOU,3.682926829
35,HOU,3.975609756
36,HOU,4.073170732
37,HOU,4.170731707
38,HOU,4.37804878
39,HOU,4.634146341
40,HOU,5
41,HOU,5.219512195
42,HOU,5.256097561
43,HOU,4.62195122
44,HOU,4.207317073
45,HOU,3.890243902
46,HOU,4.12195122
47,HOU,4.012195122
48,HOU,3.243902439
49,HOU,3.43902439
0,DAL,-0.268292683
1,DAL,-0.268292683
2,DAL,0.146341463
3,DAL,0.695121951
4,DAL,1
5,DAL,0.987804878
6,DAL,1.06097561
7,DAL,1.097560976
8,DAL,1.62195122
9,DAL,1.402439024
10,DAL,1.12195122
11,DAL,1.268292683
12,DAL,1.463414634
13,DAL,1.62195122
14,DAL,1.609756098
15,DAL,1.695121951
16,DAL,1.597560976
17,DAL,2.170731707
18,DAL,2.414634146
19,DAL,2.12195122
20,DAL,2.37804878
21,DAL,2.573170732
22,DAL,2.390243902
23,DAL,2.487804878
