Minute,Team,Margin
0,BOS,-0.329268293
1,BOS,-0.329268293
2,BOS,0.024390244
3,BOS,0.12195122
4,BOS,0.158536585
5,BOS,0.658536585
6,BOS,1.451219512
7,BOS,1.512195122
8,BOS,1.609756098
9,BOS,1.93902439
10,BOS,1.670731707
11,BOS,1.841463415
12,BOS,1.719512195
13,BOS,2.292682927
14,BOS,1.804878049
15,BOS,1.646341463
16,BOS,1.670731707
17,BOS,1.756097561
18,BOS,1.5
19,BOS,0.93902439
20,BOS,0.695121951
21,BOS,1.146341463
22,BOS,0.792682927
23,BOS,1
24,BOS,1.12195122
25,BOS,1.048780488
26,BOS,1.231707317
27,BOS,0.914634146
28,BOS,1.487804878
29,BOS,1.609756098
30,BOS,1.195121951
31,BOS,1.402439024
32,BOS,1.829268293
33,BOS,1.890243902
34,BOS,1.853658537
35,BOS,2.134146341
36,BOS,2.585365854
37,BOS,2.280487805
38,BOS,2.804878049
39,BOS,3.048780488
40,BOS,3.426829268
41,BOS,3.451219512
42,BOS,3.731707317
43,BOS,3.817073171
44,BOS,3.670731707
45,BOS,3.902439024
46,BOS,3.597560976
47,BOS,3.707317073
48,BOS,3.451219512
49,BOS,3.585365854
0,CLE,-0.524390244
1,CLE,-0.524390244
2,CLE,-0.365853659
3,CLE,0.097560976
4,CLE,0.182926829
5,CLE,-0.012195122
6,CLE,-0.304878049
7,CLE,-0.5
8,CLE,-0.475609756
9,CLE,-0.731707317
10,CLE,-0.536585366
11,CLE,-0.402439024
12,CLE,-0.37804878
13,CLE,0.317073171
14,CLE,0.182926829
15,CLE,0.426829268
16,CLE,0.524390244
17,CLE,0.597560976
18,CLE,0.365853659
19,CLE,0.280487805
20,CLE,-0.134146341
21,CLE,0.170731707
22,CLE,-0.048780488
23,CLE,0.158536585
24,CLE,-0.195121951
25,CLE,0.37804878
26,CLE,0.256097561
27,CLE,0.365853659
28,CLE,0.646341463
29,CLE,0.341463415
30,CLE,-0.182926829
31,CLE,-0.268292683
32,CLE,-0.012195122
33,CLE,-0.341463415
34,CLE,-0.158536585
35,CLE,0.170731707
36,CLE,0.317073171
37,CLE,0.134146341
38,CLE,0.268292683
39,CLE,0.073170732
40,CLE,-0.097560976
41,CLE,0.06097561
42,CLE,0.207317073
43,CLE,0.573170732
