Minute,Team,Margin
0,BOS,0.541666667
1,BOS,0.541666667
2,BOS,0.888888889
3,BOS,1.555555556
4,BOS,1.305555556
5,BOS,1.166666667
6,BOS,1.319444444
7,BOS,1.430555556
8,BOS,1.375
9,BOS,1.708333333
10,BOS,1.5
11,BOS,1.291666667
12,BOS,2.013888889
13,BOS,2.638888889
14,BOS,2.263888889
15,BOS,1.833333333
16,BOS,2.263888889
17,BOS,2.486111111
18,BOS,2.138888889
19,BOS,2.541666667
20,BOS,2.319444444
21,BOS,1.986111111
22,BOS,2.027777778
23,BOS,1.944444444
24,BOS,2.152777778
25,BOS,2.25
26,BOS,2.486111111
27,BOS,2.777777778
28,BOS,2.722222222
29,BOS,2.319444444
30,BOS,2.375
31,BOS,2.708333333
32,BOS,2.736111111
33,BOS,2.583333333
34,BOS,2.763888889
35,BOS,3.041666667
36,BOS,3.5
37,BOS,3.361111111
38,BOS,3.444444444
39,BOS,3.5
40,BOS,3.916666667
41,BOS,3.708333333
42,BOS,3.777777778
43,BOS,3.555555556
44,BOS,3.347222222
45,BOS,4.013888889
46,BOS,4.25
47,BOS,4.361111111
48,BOS,4.777777778
49,BOS,4.986111111
0,PHI,0.388888889
1,PHI,0.388888889
2,PHI,0.555555556
3,PHI,1.083333333
4,PHI,1.569444444
5,PHI,1.430555556
6,PHI,1.875
7,PHI,1.666666667
8,PHI,1.5
9,PHI,1.541666667
10,PHI,1.680555556
11,PHI,2.25
12,PHI,1.833333333
13,PHI,2.277777778
14,PHI,2.5
15,PHI,2.375
16,PHI,2.472222222
17,PHI,2.347222222
18,PHI,3.055555556
19,PHI,2.638888889
20,PHI,2.916666667
21,PHI,3.472222222
22,PHI,3.597222222
23,PHI,3.458333333
24,PHI,2.861111111
25,PHI,3.055555556
26,PHI,3.097222222
27,PHI,3.180555556
28,PHI,3.472222222
29,PHI,3.611111111
30,PHI,3.861111111
31,PHI,3.680555556
32,PHI,3.222222222
33,PHI,3.5
34,PHI,3.027777778
35,PHI,3.069444444
36,PHI,3.013888889
37,PHI,3.291666667
38,PHI,3.277777778
39,PHI,3.458333333
40,PHI,3.222222222
41,PHI,2.944444444
42,PHI,3.388888889
43,PHI,3.430555556
44,PHI,3.222222222
45,PHI,3.111111111
46,PHI,3.444444444
47,PHI,3.402777778
48,PHI,3.541666667
49,PHI,3.375
0,OKC,0.305555556
1,OKC,0.305555556
2,OKC,0.305555556
3,OKC,-0.194444444
4,OKC,0.111111111
5,OKC,-0.041666667
6,OKC,0.305555556
7,OKC,0.305555556
8,OKC,0.430555556
9,OKC,0.777777778
10,OKC,0.736111111
11,OKC,0.527777778
12,OKC,0.263888889
13,OKC,0.222222222
14,OKC,0.166666667
15,OKC,-0.166666667
16,OKC,-0.527777778
17,OKC,-0.763888889
18,OKC,-0.958333333
19,OKC,-0.555555556
20,OKC,0.180555556
21,OKC,1.055555556
22,OKC,0.958333333
23,OKC,0.847222222
24,OKC,0.916666667
25,OKC,1.569444444
26,OKC,1.805555556
27,OKC,1.569444444
28,OKC,1.638888889
29,OKC,2.263888889
30,OKC,2.208333333
31,OKC,1.708333333
32,OKC,1.861111111
33,OKC,2.208333333
34,OKC,3.027777778
35,OKC,2.944444444
36,OKC,2.638888889
37,OKC,3.541666667
38,OKC,3.361111111
39,OKC,4.027777778
40,OKC,3.722222222
41,OKC,3.277777778
42,OKC,3.305555556
43,OKC,3.430555556
44,OKC,4.375
45,OKC,4.097222222
46,OKC,4.277777778
47,OKC,4.5
48,OKC,4.194444444
49,OKC,3.361111111
0,GSW,0.183098592
1,GSW,0.183098592
2,GSW,0.14084507
3,GSW,0.366197183
4,GSW,0.802816901
5,GSW,0.690140845
6,GSW,0.929577465
7,GSW,0.774647887
8,GSW,0.535211268
9,GSW,1.422535211
10,GSW,1.873239437
11,GSW,2.408450704
12,GSW,2.422535211
13,GSW,2.323943662
14,GSW,2.169014085
15,GSW,2.028169014
16,GSW,2.591549296
17,GSW,2.690140845
18,GSW,2.070422535
19,GSW,2.436619718
20,GSW,2.084507042
21,GSW,1.985915493
22,GSW,2.436619718
23,GSW,2.563380282
24,GSW,2.718309859
25,GSW,2.915492958
26,GSW,2.647887324
27,GSW,2.971830986
28,GSW,3.732394366
29,GSW,3.732394366
30,GSW,3.887323944
31,GSW,3.957746479
32,GSW,4.154929577
33,GSW,4.070422535
34,GSW,5.042253521
35,GSW,5.436619718
36,GSW,6.112676056
37,GSW,5.788732394
38,GSW,5.563380282
39,GSW,5.535211268
40,GSW,5.450704225
41,GSW,5.633802817
42,GSW,5.985915493
43,GSW,5.915492958
44,GSW,5.774647887
45,GSW,6.338028169
46,GSW,6.098591549
47,GSW,6.338028169
48,GSW,6.126760563
49,GSW,6.169014085
0,TOR,0.097222222
1,TOR,0.097222222
2,TOR,0.166666667
3,TOR,0
4,TOR,0.111111111
5,TOR,0.972222222
6,TOR,1.125
7,TOR,1.5
8,TOR,1.694444444
9,TOR,2.291666667
10,TOR,1.458333333
11,TOR,1.263888889
12,TOR,1.513888889
13,TOR,1.277777778
14,TOR,1.069444444
15,TOR,0.930555556
16,TOR,1.236111111
17,TOR,1.111111111
18,TOR,1.041666667
19,TOR,1.708333333
20,TOR,1.777777778
21,TOR,1.861111111
22,TOR,2.472222222
23,TOR,3.138888889
24,TOR,3.430555556
25,TOR,3.180555556
26,TOR,3.458333333
27,TOR,3.986111111
28,TOR,4.222222222
29,TOR,4.402777778
30,TOR,4.444444444
31,TOR,4.972222222
32,TOR,5.263888889
33,TOR,6
34,TOR,6
35,TOR,6.388888889
36,TOR,6.180555556
37,TOR,6.069444444
38,TOR,6.111111111
39,TOR,5.861111111
40,TOR,5.777777778
41,TOR,5.430555556
42,TOR,5.819444444
43,TOR,5.902777778
44,TOR,5.777777778
45,TOR,5.861111111
46,TOR,5.833333333
47,TOR,5.680555556
48,TOR,5.875
49,TOR,5.583333333
0,CLE,-0.208333333
1,CLE,-0.208333333
2,CLE,0.027777778
3,CLE,-0.347222222
4,CLE,-0.208333333
5,CLE,-0.527777778
6,CLE,-1.041666667
7,CLE,-1.375
8,CLE,-1.472222222
9,CLE,-1.791666667
10,CLE,-1.694444444
11,CLE,-1.902777778
12,CLE,-2.277777778
13,CLE,-2.208333333
14,CLE,-1.861111111
15,CLE,-2.111111111
16,CLE,-2.208333333
17,CLE,-2.097222222
18,CLE,-2.388888889
19,CLE,-3.277777778
20,CLE,-3.277777778
21,CLE,-3.708333333
22,CLE,-4.277777778
23,CLE,-4.277777778
24,CLE,-4.597222222
25,CLE,-5.069444444
