Minute,Team,Margin
0,POR,-0.353658537
1,POR,-0.353658537
2,POR,-0.134146341
3,POR,0.036585366
4,POR,0.182926829
5,POR,0.048780488
6,POR,0.353658537
7,POR,1.109756098
8,POR,0.87804878
9,POR,0.853658537
10,POR,0.890243902
11,POR,0.841463415
12,POR,0.585365854
13,POR,0.451219512
14,POR,0.146341463
15,POR,0.256097561
16,POR,0.62195122
17,POR,0.707317073
18,POR,0.792682927
19,POR,0.182926829
20,POR,-0.012195122
21,POR,-0.12195122
22,POR,0.353658537
23,POR,0.231707317
24,POR,-0.024390244
25,POR,0.5
26,POR,0.890243902
27,POR,0.62195122
28,POR,0.353658537
29,POR,0.353658537
30,POR,0.097560976
31,POR,0.024390244
32,POR,0.243902439
33,POR,0.353658537
34,POR,0.048780488
35,POR,0.146341463
36,POR,-0.304878049
37,POR,-0.329268293
38,POR,-0.585365854
39,POR,-1.182926829
40,POR,-0.841463415
41,POR,-0.585365854
42,POR,-0.268292683
43,POR,-0.573170732
44,POR,-0.658536585
45,POR,-0.43902439
46,POR,-0.658536585
47,POR,-0.817073171
48,POR,-0.756097561
49,POR,-0.524390244
0,UTA,0.207317073
1,UTA,0.207317073
2,UTA,0.268292683
3,UTA,0.353658537
4,UTA,0.902439024
5,UTA,1.317073171
6,UTA,1.37804878
7,UTA,1.146341463
8,UTA,1.256097561
9,UTA,1.353658537
10,UTA,1.329268293
11,UTA,1.670731707
12,UTA,0.817073171
13,UTA,0.414634146
14,UTA,0.62195122
15,UTA,0.646341463
16,UTA,0.829268293
17,UTA,0.804878049
18,UTA,0.219512195
19,UTA,0.536585366
20,UTA,0.304878049
21,UTA,-0.37804878
22,UTA,0.231707317
23,UTA,0.170731707
24,UTA,0.414634146
25,UTA,0.268292683
26,UTA,0.451219512
27,UTA,0.5
28,UTA,0.536585366
29,UTA,0.280487805
30,UTA,0.841463415
31,UTA,0.93902439
32,UTA,1.5
33,UTA,1.512195122
34,UTA,1.853658537
35,UTA,1.756097561
36,UTA,1.329268293
37,UTA,1.902439024
38,UTA,1.804878049
39,UTA,1.926829268
40,UTA,2.43902439
41,UTA,2.170731707
42,UTA,2.573170732
43,UTA,2.43902439
44,UTA,2.756097561
45,UTA,2.951219512
46,UTA,3.512195122
47,UTA,3.646341463
48,UTA,3.87804878
49,UTA,3.93902439
0,GSW,-0.036585366
1,GSW,-0.036585366
2,GSW,0.365853659
3,GSW,0.085365854
4,GSW,0.719512195
5,GSW,0.93902439
6,GSW,0.768292683
7,GSW,1.512195122
8,GSW,1.548780488
9,GSW,2.134146341
10,GSW,2.073170732
11,GSW,2.792682927
12,GSW,3.43902439
13,GSW,3.975609756
14,GSW,4.207317073
15,GSW,4.37804878
16,GSW,4.219512195
17,GSW,4.024390244
18,GSW,4.280487805
19,GSW,3.975609756
20,GSW,4.695121951
21,GSW,4.524390244
22,GSW,4.62195122
23,GSW,4.975609756
24,GSW,5.43902439
25,GSW,6.341463415
26,GSW,6.695121951
27,GSW,7.024390244
28,GSW,7.317073171
29,GSW,8.170731707
30,GSW,9.073170732
31,GSW,9.902439024
32,GSW,9.536585366
33,GSW,10.08536585
34,GSW,10.75609756
35,GSW,10.73170732
36,GSW,11.58536585
37,GSW,11.73170732
38,GSW,11.52439024
39,GSW,11.91463415
40,GSW,11.62195122
41,GSW,12.03658537
42,GSW,11.92682927
43,GSW,11.91463415
44,GSW,12.04878049
45,GSW,12.19512195
46,GSW,12.26829268
47,GSW,12.2804878
48,GSW,12.26829268
49,GSW,11.63414634
0,SAS,0.109756098
1,SAS,0.109756098
2,SAS,-0.048780488
3,SAS,0.426829268
4,SAS,0.43902439
5,SAS,0.256097561
6,SAS,0.256097561
7,SAS,0.451219512
8,SAS,0.634146341
9,SAS,0.658536585
10,SAS,0.475609756
11,SAS,0.548780488
12,SAS,0.792682927
13,SAS,1.048780488
14,SAS,1.536585366
15,SAS,1.304878049
16,SAS,1.707317073
17,SAS,1.414634146
18,SAS,1.841463415
19,SAS,1.487804878
20,SAS,1.646341463
21,SAS,2.097560976
22,SAS,2.341463415
23,SAS,2.365853659
24,SAS,2.902439024
25,SAS,2.902439024
26,SAS,2.756097561
27,SAS,3.146341463
28,SAS,3.365853659
29,SAS,3.487804878
30,SAS,3.93902439
31,SAS,3.646341463
32,SAS,4
33,SAS,4.353658537
34,SAS,4.829268293
35,SAS,5.37804878
36,SAS,5.524390244
37,SAS,6.207317073
38,SAS,5.926829268
39,SAS,6.390243902
40,SAS,6.536585366
41,SAS,6.280487805
42,SAS,6.682926829
43,SAS,6.719512195
44,SAS,6.719512195
45,SAS,6.463414634
46,SAS,6.743902439
47,SAS,6.768292683
48,SAS,6.670731707
49,SAS,7.195121951
0,CLE,-0.231707317
1,CLE,-0.231707317
2,CLE,0.292682927
3,CLE,0.231707317
4,CLE,0.158536585
5,CLE,0.402439024
6,CLE,0.597560976
7,CLE,1
8,CLE,1.585365854
9,CLE,2.146341463
10,CLE,2.43902439
11,CLE,2.182926829
12,CLE,2.341463415
13,CLE,3.012195122
14,CLE,3.597560976
15,CLE,3.512195122
16,CLE,3.475609756
17,CLE,3.256097561
18,CLE,3.097560976
19,CLE,3.085365854
20,CLE,3.024390244
21,CLE,2.987804878
22,CLE,3.012195122
23,CLE,3.256097561
24,CLE,3.207317073
25,CLE,3.646341463
26,CLE,3.548780488
27,CLE,3.402439024
28,CLE,3.719512195
29,CLE,3.451219512
30,CLE,4.036585366
31,CLE,4.268292683
32,CLE,4.841463415
33,CLE,5.219512195
34,CLE,4.695121951
35,CLE,4.512195122
36,CLE,4.658536585
37,CLE,3.902439024
38,CLE,4.231707317
39,CLE,3.256097561
40,CLE,3.341463415
41,CLE,3.085365854
42,CLE,3.048780488
43,CLE,2.62195122
44,CLE,2.512195122
45,CLE,2.890243902
46,CLE,2.756097561
47,CLE,3.329268293
48,CLE,3.097560976
49,CLE,3.182926829
0,NYK,0.146341463
1,NYK,0.146341463
2,NYK,0.195121951
3,NYK,-0.085365854
4,NYK,-0.146341463
5,NYK,-0.402439024
6,NYK,-0.426829268
7,NYK,-0.963414634
8,NYK,-1.256097561
9,NYK,-1.487804878
10,NYK,-1.817073171
11,NYK,-1.865853659
12,NYK,-1.829268293
13,NYK,-1.695121951
