Minute,Team,Margin
30,NOP,-2.817073171
31,NOP,-2.634146341
32,NOP,-2.56097561
33,NOP,-2.756097561
34,NOP,-2.304878049
35,NOP,-3.182926829
36,NOP,-3.414634146
37,NOP,-2.792682927
38,NOP,-3.195121951
39,NOP,-3.304878049
40,NOP,-3.463414634
41,NOP,-3.231707317
42,NOP,-3.365853659
43,NOP,-3.243902439
44,NOP,-3
45,NOP,-2.780487805
46,NOP,-3.219512195
47,NOP,-3.268292683
48,NOP,-3.682926829
49,NOP,-3.792682927
0,GSW,0.475609756
1,GSW,0.475609756
2,GSW,0.5
3,GSW,0.524390244
4,GSW,0.87804878
5,GSW,1.524390244
6,GSW,1.512195122
7,GSW,2.109756098
8,GSW,2.743902439
9,GSW,2.975609756
10,GSW,3.219512195
11,GSW,3.914634146
12,GSW,4.024390244
13,GSW,4.804878049
14,GSW,5.207317073
15,GSW,5.219512195
16,GSW,5.280487805
17,GSW,4.87804878
18,GSW,4.865853659
19,GSW,5.243902439
20,GSW,5.56097561
21,GSW,5.865853659
22,GSW,5.890243902
23,GSW,6.268292683
24,GSW,6.768292683
25,GSW,6.524390244
26,GSW,7.12195122
27,GSW,7.256097561
28,GSW,7.268292683
29,GSW,7.646341463
30,GSW,8.292682927
31,GSW,8.585365854
32,GSW,8.56097561
33,GSW,8.963414634
34,GSW,8.451219512
35,GSW,9.56097561
36,GSW,9.536585366
37,GSW,9.62195122
38,GSW,9.853658537
39,GSW,9.475609756
40,GSW,9.012195122
41,GSW,8.902439024
42,GSW,9.353658537
43,GSW,9.256097561
44,GSW,9.804878049
45,GSW,10.13414634
46,GSW,10.2804878
47,GSW,10.40243902
48,GSW,10.29268293
49,GSW,10.75609756
0,OKC,0.317073171
1,OKC,0.317073171
2,OKC,0.658536585
3,OKC,0.353658537
4,OKC,0.658536585
5,OKC,0.853658537
6,OKC,1.353658537
7,OKC,1.682926829
8,OKC,1.926829268
9,OKC,2.085365854
10,OKC,2.524390244
11,OKC,2.682926829
12,OKC,2.524390244
13,OKC,2.463414634
14,OKC,2.292682927
15,OKC,2.463414634
16,OKC,2.634146341
17,OKC,2.890243902
18,OKC,3.036585366
19,OKC,2.87804878
20,OKC,3.182926829
21,OKC,3.158536585
22,OKC,3.195121951
23,OKC,3.573170732
24,OKC,3.963414634
25,OKC,4.414634146
26,OKC,4.402439024
27,OKC,4.853658537
28,OKC,5.329268293
29,OKC,5.93902439
30,OKC,5.524390244
31,OKC,6.06097561
32,OKC,6.390243902
33,OKC,6.219512195
34,OKC,6.06097561
35,OKC,6.414634146
36,OKC,6.975609756
37,OKC,7.390243902
38,OKC,7
39,OKC,7.426829268
40,OKC,7.402439024
41,OKC,7.475609756
42,OKC,7.536585366
43,OKC,8.414634146
44,OKC,8.414634146
45,OKC,8.231707317
46,OKC,8.182926829
47,OKC,8.024390244
48,OKC,7.573170732
49,OKC,7.280487805
0,SAS,-0.036585366
1,SAS,-0.036585366
2,SAS,0
3,SAS,0.548780488
4,SAS,0.682926829
5,SAS,0.707317073
6,SAS,0.390243902
7,SAS,0.475609756
8,SAS,0.817073171
9,SAS,1.646341463
10,SAS,2.048780488
11,SAS,2.463414634
12,SAS,2.597560976
13,SAS,2.902439024
14,SAS,2.902439024
15,SAS,2.951219512
16,SAS,3.548780488
17,SAS,3.865853659
18,SAS,4.426829268
19,SAS,4.475609756
20,SAS,4.524390244
21,SAS,5.207317073
22,SAS,5.853658537
23,SAS,5.817073171
24,SAS,6.024390244
25,SAS,6.134146341
26,SAS,6.451219512
27,SAS,6.658536585
28,SAS,6.695121951
29,SAS,6.853658537
30,SAS,7.182926829
31,SAS,7.146341463
32,SAS,7.792682927
33,SAS,7.792682927
34,SAS,7.573170732
35,SAS,7.865853659
36,SAS,8.365853659
37,SAS,8.585365854
38,SAS,9
39,SAS,8.890243902
40,SAS,9.475609756
41,SAS,10.12195122
42,SAS,10.09756098
43,SAS,10.01219512
44,SAS,10.30487805
45,SAS,10.51219512
46,SAS,10.40243902
47,SAS,10.7804878
48,SAS,10.7804878
49,SAS,10.63414634
0,TOR,0.353658537
1,TOR,0.353658537
2,TOR,0.12195122
3,TOR,-0.207317073
4,TOR,-0.37804878
5,TOR,-1.256097561
6,TOR,-1.12195122
7,TOR,-0.865853659
8,TOR,-0.5
9,TOR,-0.62195122
10,TOR,-0.024390244
11,TOR,0.390243902
12,TOR,0.292682927
13,TOR,0.024390244
14,TOR,0.719512195
15,TOR,0.902439024
16,TOR,1.06097561
17,TOR,1.304878049
18,TOR,1.170731707
19,TOR,1.548780488
20,TOR,1.926829268
21,TOR,1.841463415
22,TOR,1.853658537
23,TOR,1.865853659
24,TOR,2
25,TOR,1.87804878
26,TOR,1.56097561
27,TOR,1.804878049
28,TOR,1.512195122
29,TOR,1.865853659
30,TOR,2.329268293
31,TOR,2.195121951
32,TOR,2.841463415
33,TOR,2.219512195
34,TOR,2.390243902
35,TOR,2.731707317
36,TOR,2.902439024
37,TOR,3.109756098
38,TOR,3.085365854
39,TOR,3.865853659
40,TOR,3.597560976
41,TOR,3.865853659
42,TOR,3.817073171
43,TOR,4.085365854
44,TOR,3.670731707
45,TOR,3.829268293
46,TOR,4.231707317
47,TOR,4.292682927
48,TOR,4.548780488
49,TOR,4.5
0,IND,0.036585366
1,IND,0.036585366
2,IND,0.036585366
3,IND,0.463414634
4,IND,0.402439024
5,IND,0.036585366
6,IND,0.414634146
7,IND,0.256097561
8,IND,0.280487805
9,IND,0.109756098
10,IND,0.036585366
11,IND,-0.231707317
12,IND,-0.109756098
13,IND,0.646341463
14,IND,0.707317073
15,IND,0.573170732
16,IND,0.548780488
17,IND,0.914634146
18,IND,1.146341463
19,IND,1.219512195
20,IND,1.804878049
21,IND,2.024390244
22,IND,1.719512195
23,IND,1.573170732
24,IND,1.646341463
25,IND,1.756097561
26,IND,1.926829268
27,IND,2.292682927
28,IND,2.390243902
29,IND,2.585365854
30,IND,2.048780488
31,IND,1.963414634
32,IND,1.87804878
33,IND,1.792682927
34,IND,1.707317073
35,IND,1.231707317
36,IND,1.256097561
37,IND,1.134146341
38,IND,1.280487805
39,IND,1.37804878
40,IND,1.12195122
41,IND,1.06097561
42,IND,1.219512195
43,IND,1.536585366
44,IND,1.804878049
45,IND,2.219512195
46,IND,2.06097561
47,IND,2.512195122
48,IND,2.134146341
49,IND,1.707317073
0,MEM,0.073170732
1,MEM,0.073170732
2,MEM,0.512195122
3,MEM,0.975609756
4,MEM,0.475609756
5,MEM,0.475609756
6,MEM,0.43902439
7,MEM,-0.158536585
8,MEM,0.548780488
9,MEM,0.402439024
10,MEM,-0.085365854
11,MEM,0.06097561
12,MEM,-0.268292683
13,MEM,-0.256097561
